医薬品名,効能,注意事項,使用方法,保存方法
パラディア錠15,このお薬は、分子標的薬という種類の抗がん剤です。肥満細胞腫などの治療に用いられます。,薬に直接手を触れないで下さい。また、本剤投与後2日間は、排泄物にも直接手を触れないで下さい。,換気の良い場所で、手袋、マスクを装着して薬を扱って下さい。獣医師の指示を厳守し、用法用量を守って、正しくご使用下さい。,室温で保存してください。
パラディア錠50,このお薬は、分子標的薬という種類の抗がん剤です。肥満細胞腫などの治療に用いられます。,薬に直接手を触れないで下さい。また、本剤投与後2日間は、排泄物にも直接手を触れないで下さい。,換気の良い場所で、手袋、マスクを装着して薬を扱って下さい。獣医師の指示を厳守し、用法用量を守って、正しくご使用下さい。,室温で保存してください。
ﾊﾟﾝｸﾚｱﾁﾝ,このお薬は、消化酵素剤です。膵外分泌不全の治療などに使用されます。,本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、決められた用量を食事のたびに投与して下さい。,気密容器に入れて、30℃以下で保存して下さい。
ハイチオール錠80,皮膚の代謝を正常化させる働きがあります。,,,
ハルナールD錠0.1㎎,このお薬は、排尿障害治療薬です。前立腺肥大症に伴う排尿障害の治療に使用されます。,本剤使用後、異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて、室温で保存して下さい。
ﾋﾞｵｲﾑﾊﾞｽﾀｰ錠,このお薬は、犬猫用の整腸剤です。食欲不振、消化不良および単純性下痢の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,直射日光と高温多湿を避けて、室温で保存して下さい。
ビクタスSS錠10mg,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。分割してあげる場合は、すみやかに使用してください。,獣医師の指示のもと、用法用量を守って、正しく与えて下さい。,直射日光、高温及び多湿をさけて室温で保存してください。
ﾋﾞｸﾀｽS錠20mg,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,直射日光と高温多湿を避けて保存して下さい。
ﾋﾞﾀﾐﾝK1錠5mg｢ﾂﾙﾊﾗ｣,このお薬は、ビタミンK製剤です。ビタミンK不足の改善や、ビタミンK不足による出血の治療などに使用されます。,本剤投与後、吐き気、嘔吐、軟便などが起こることがあります。異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。食事と同時に投与して下さい。,気密容器に入れ、光を避けて保存して下さい。
ピモベハート錠1.25,このお薬は、心不全治療薬です。心不全の治療に使用されます。,本剤投与後、異常が見られた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しく与えてください。食事の1時間前に与えるようにしてください。,気密容器に入れて、直射日光と高温多湿を避け室温で保存して下さい。
ピモベハート錠5,このお薬は、心不全治療薬です。心不全の治療に使用されます。,本剤投与後、異常が見られた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しく与えて下さい。食事の1時間前に与えるようにしてください。,気密容器に入れて、直射日光と高温多湿を避けて室温で保存してください。
ﾋﾞﾌﾞﾗﾏｲｼﾝ錠50mg,このお薬は、テトラサイクリン系の抗生物質です。細菌感染や原虫感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,気密容器に入れて、室温で保存して下さい。
ビブラマイシン100mg,このお薬は、テトラサイクリン系の抗生物質です。細菌感染や原虫感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,気密容器に入れて、室温で保存して下さい。
ﾋﾞﾙﾃﾞﾝﾀﾏｲｼﾝ75,このお薬は、リンコマイシン系の抗生物質です。嫌気性菌にも有効です。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しく与えて下さい。,直射日光、高温及び多湿をさけて保存してください。
ビルデンタマイシン50,歯周病などの感染症に効果のある抗生物質です。,室温で保存して下さい。,,
ﾌｧﾛﾑ錠150mg,このお薬は、ペネム系の抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,開封後は湿気を避けて、室温で保存して下さい。
ファモチジン１０ｍｇ,このお薬は、Ｈ2ブロッカーです。胃・十二指腸の潰瘍などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。
ファモチジン錠20mg,このお薬は、H2ブロッカーです。胃・十二指腸の潰瘍などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて、室温で保存して下さい。
ﾌｪﾉﾊﾞｰﾙｴﾘｷｼﾙ0.4%,このお薬は、催眠・鎮静・抗けいれん剤です。けいれんの症状を緩和します。,本剤は薬が体に馴染むまで初回投与から約2週間かかり、食欲、飲水、尿量が増したり、ふらつきがみられることがあります。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さい。,室温で保存して下さい。
ﾌｪﾉﾊﾞｰﾙ錠30mg,このお薬は、催眠・鎮静・抗けいれん剤です。けいれんの症状を緩和します。,本剤は薬が体に馴染むまで初回投与から約2週間かかり、食欲、飲水、尿量が増したり、ふらつきがみられることがあります。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さい。,室温で保存して下さい。
ﾌｪﾛﾐｱ錠50mg,このお薬は、造血薬です。鉄を補うことで、貧血を改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。
フェンベンダゾール,ベンズイミダゾール系の駆虫薬で、犬猫ではジアルジアやトリコモナスなど、ウサギではエンセファリトゾーンなどの治療に使用されます。,非常にまれですが、寄生虫が死ぬことによる、アレルギー反応がみられることがあります。異常がみられた場合は、すぐ獣医師にご相談ください。,食事と一緒に投与して下さい。獣医師から指示された用法用量を必ず守り、指示のない限り途中で投与を中止しないでください。,光を避けて、室温で保存して下さい。
高ｶﾙｼｳﾑ血症の薬,食前30分前に飲ませてください。30分間は他の薬を服用しないでください。水を多く与えてください。,,,
ﾌｫﾘｱﾐﾝ錠,このお薬は、葉酸製剤です。葉酸の欠乏、代謝障害による貧血、肝疾患による貧血、吸収不良症候群の治療などに使用されます。,本剤投与後、食欲不振・体重減少等の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。食事と同時に投与して下さい。,光を避けて、室温で保存して下さい。処方期間を過ぎた薬は廃棄して下さい。
ﾌｫﾘｸﾛﾝ錠5,このお薬は、消化管運動機能改善剤です。胃・十二指腸などの運動機能低下、食欲不振、嘔吐の改善などに使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾌｫﾙﾃｺｰﾙ錠2.5mgﾌﾚｰﾊﾞｰ,このお薬は、ＡＣＥ阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。また、腎臓の血管を拡張させ、腎臓を保護する作用もあります。,本剤投与後、嘔吐や下痢が持続したり悪化した場合や、その他の異常があらわれた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,直射日光と高温多湿を避け、気密容器に入れて保存して下さい。
ﾌｫﾙﾃｺｰﾙ錠5mgﾌﾚｰﾊﾞｰ,このお薬は、ＡＣＥ阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。また、腎臓の血管を拡張させ、腎臓を保護する作用もあります。,本剤投与後、嘔吐や下痢が持続したり悪化した場合や、その他の異常があらわれた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,直射日光と高温多湿を避け、気密容器に入れて保存して下さい。
フォルテコールプラスＳ,このお薬は、血管を拡張させ、心臓への負担を軽減するACE阻害剤と強心剤を配合した心不全治療薬です。,本剤投与後に嘔吐や下痢がみられるなど、異常があらわれた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って正しく与えて下さい。食事の１時間前に与えて下さい。,室温で保存して下さい。
フォルテコールプラスL,このお薬は、血管を拡張させ、心臓への負担を軽減するACE阻害剤と強心剤を配合した心不全治療薬です。,本剤投与後に嘔吐や下痢がみられるなど、異常があらわれた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って正しく与えて下さい。食事の1時間前に与えて下さい。,室温で保存して下さい。
ﾌﾞｽｺﾊﾟﾝ錠10mg,このお薬は、鎮けい剤です。胃炎、腸炎、胆嚢胆管炎、膀胱炎、膵炎、過敏性腸症などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて、保存して下さい。
ﾌﾗｼﾞｰﾙ内服錠250mg,このお薬は、ニトロイミダゾール系の抗菌剤です。原虫や細菌（嫌気性菌）による疾患の治療、炎症性腸疾患などに使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,気密容器に入れて、室温で保存して下さい。
ﾌﾟﾗﾒﾊﾞﾝ錠5,このお薬は、高脂血症の治療薬です。脂質の代謝異常を改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ錠5mg｢ﾐﾀ｣,このお薬は、副腎皮質ホルモン剤です。炎症性疾患や免疫疾患などに使用されます。,本剤投与後、食欲の増加、多飲が見られることがあります。その他異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,気密容器に入れて、室温で保存して下さい。
プレドニゾロン２．５ｍｇ,このお薬は、副腎皮質ホルモン剤です。炎症性疾患や免疫疾患などに使用されます。,本剤投与後、食欲の増加、多飲が見られることがあります。その他異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
プレドニゾロン錠1mg（旭化成）,このお薬は、副腎皮質ホルモン剤です。炎症性疾患や免疫疾患などに使用されます。,本剤投与後、食欲の増加、多飲が見られることがあります。その他異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
ﾌﾟﾚﾋﾞｺｯｸｽ57,このお薬は、非ステロイド性消炎鎮痛剤です。痛みを抑え、熱を下げ、炎症を取ります。また、一部の腫瘍においては、腫瘍の成長を抑える効果もあります。,空腹時には投与しないで下さい。本剤投与後、食欲不振、嘔吐等がみられた場合はすぐに獣医師にご相談下さい。,空腹時の投与を避けて、食事に混ぜるか、食後に与えて下さい。,直射日光と湿気を避けて、涼しい場所で保存して下さい。
ﾌﾟﾚﾋﾞｺｯｸｽ227,このお薬は、非ステロイド性消炎鎮痛剤です。痛みを抑え、熱を下げ、炎症をとります。また一部の腫瘍においては、腫瘍の成長を抑える効果もあります。,空腹時には投与しないで下さい。本剤投与後、食欲不振、嘔吐等がみられた場合はすぐに獣医師にご相談下さい。,空腹時の投与を避けて、食事に混ぜるか、食後に与えて下さい。,直射日光と湿気を避けて、涼しい場所で保存して下さい。
フロセミド１０ｍｇ,このお薬は、利尿剤です。うっ血性心不全や肺水腫の症状の改善のために使用されます。,本剤投与後、過度の渇き、無気力、乏尿、胃腸障害などの異常がみられた場合はすぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。,光を避けて、室温で保存して下さい。
フロセミド20ｍｇ,このお薬は、利尿剤です。うっ血性心不全や肺水腫の症状の改善のために使用されます。,本剤投与後、過度の渇き、無気力、乏尿、胃腸障害など異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避けて、室温で保存して下さい。
ﾌﾟﾛﾅﾐﾄﾞ錠5mg,このお薬は、消化管運動機能改善剤です。胃・十二指腸などの運動機能低下、食欲不振、嘔吐の改善などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて、室温で保存して下さい。
ﾌﾟﾛﾍﾊﾟｿﾞﾝ腸溶剤100mg,プロヘパゾンは、S-アデノシルメチオニンを主成分とするサプリメントです。肝胆道系の治療の際、補助的に使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。,割らずに、食間に与えて下さい。獣医師に相談の上、与えて下さい。,直射日光と高温多湿を避けて保存して下さい。
ﾌﾟﾛﾍﾊﾟｿﾞﾝ腸溶剤200mg,プロヘパゾンは、S-アデノシルメチオニンを主成分とするサプリメントです。肝胆道系の治療の際、補助的に使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。,割らずに、食間に与えて下さい。獣医師に相談の上、与えて下さい。,直射日光と高温多湿を避けて保存して下さい。
ﾌﾟﾛﾍﾊﾟﾌｫｽM,シリビン-ホスファチジルコリン複合体、バイオフラバノール、N-アセチルシステイン、亜鉛を配合した犬猫用サプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,直射日光と高温多湿を避けて保存して下さい。
ﾌﾟﾛﾍﾊﾟﾌｫｽS,シリビン-ホスファチジルコリン複合体、バイオフラバノール、N-アセチルシステイン、亜鉛を配合した犬猫用サプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,直射日光と高温多湿を避けて保存して下さい。
ﾌﾟﾛﾓｰｼｮﾝ420,この製品は、グルコサミン、ペプチドコラーゲン、バイオフラバノールを主成分とする犬猫用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,湿気を避けて保存して下さい。
ﾌﾛﾘﾈﾌ錠0.1mg（海外薬）,このお薬は、合成鉱質コルチコイド剤です。副腎皮質機能低下症（アジソン病）の治療などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。定期的な検診や検査が必要になります。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,光を避けて、冷蔵庫で保管してください。
ﾍﾞｻｺﾘﾝ散5%,このお薬は、慢性胃炎、腸管麻痺、麻痺性イレウス、尿路閉塞の治療薬です。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。
ﾍﾞﾄﾒﾃﾞｨﾝ1.25mg,このお薬は、心不全治療薬です。心不全の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って正しく与えて下さい。食事の1時間前に与えるようにしてください。,気密容器に入れて、直射日光と高温多湿を避け室温で保存して下さい。
ﾍﾞﾄﾒﾃﾞｨﾝ5mg,このお薬は、心不全治療薬です。心不全の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って正しく与えて下さい。食事の1時間前に与えるようにしてください。,気密容器に入れて、直射日光と高温多湿を避け室温で保存して下さい。
ベトメディン経口液,＜全1＞,VETRISAMe90,ベトリルは、S-アデノシルメチオニンを主成分とするサプリメントです。肝胆道系の治療の際、補助的に使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。
ﾍﾞﾄﾙﾌｧｰﾙ,このお薬は、鎮痛、鎮咳薬です。痛みの緩和や咳止めとして使用されます。,本剤投与後、鎮静効果があるため眠くなることがあります。その他の異常がみられた場合はすぐに獣医師にご相談ください。,獣医師の指示のもと用法用量を守って、正しくご使用下さい。,室温で保存してください。
ﾍﾟﾘｱｸﾁﾝ錠4mg,このお薬は、抗アレルギー剤です。気管支喘息や湿疹・皮膚炎の治療に使用されます。また、食欲増進にも使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾍﾟﾙｻﾝﾁﾝ錠25mg,このお薬は、抗血小板剤です。血液の凝固を防ぎたいときに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて保存して下さい。
ベラプロストＮａ錠,このお薬は、血圧を低下させる作用があり、肺高血圧症の際に使われます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談ください。お薬の返品、交換はお受けできませんのでご了承ください。,獣医師の指示のもと、用法用量を必ず守って、使用して下さい。,気密容器に入れ、室温で保存して下さい。
ﾍﾟﾙｻﾝﾁﾝ錠100mg,このお薬は、抗血小板剤です。血液の凝固を防ぎたいときに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて保存して下さい。
ﾍﾙﾍﾞｯｻｰ錠30,このお薬は、不整脈の治療や血管を拡張させることで、血圧を管理するために使用されます。,本剤投与後、胃腸から出血の徴候、その他の異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ペンタサ錠250㎎,このお薬は、潰瘍性大腸炎、炎症性腸症治療剤です。潰瘍性大腸炎、炎症性腸炎の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れ、光を避けて室温で保存して下さい。
ホエミゲル分包機,リン吸着剤で腎不全などで高リン血症がみられた場合に使われます。,異常がみられた場合は、獣医師にご相談ください。,,
ﾎｽﾃｨｰﾝS,このシャンプーは、殺菌・角質溶解・止痒作用により、皮膚糸状菌症、湿疹、外部寄生虫症の症状の改善に効果があります。,本剤使用後、異常がみられた場合は、使用を中止し、獣医師に相談して下さい。,あらかじめ皮膚被毛をぬらし、適量の本剤でマッサージしながら洗浄します。その後すすいでから乾かして下さい。,直射日光を避けて、室温で保存して下さい。
ﾎｽﾐｼﾝ錠250,このお薬は、ホスホマイシン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,室温で保存して下さい。
ﾎﾞﾏｼﾞｰﾙｱｸﾃｨﾌﾞ,この製品は、緑イ貝を主成分とした犬用サプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,湿気を避けて、室温（30℃以下）で保存して下さい。
ﾎﾞﾏｼﾞｰﾙﾊﾟﾋﾟｰﾌﾟﾛ,この製品は、緑イ貝を主成分とした犬用サプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,湿気を避けて、室温（30℃以下）で保存して下さい。
ﾎﾞﾙﾀﾚﾝｻﾎﾟ12.5mg,このお薬は、非ステロイド性鎮痛抗炎症剤です。痛みや炎症を抑え、熱を下げます。,本剤は坐剤です。絶対に飲ませないで下さい。投与後異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,冷所で保存して下さい。
ﾏｽｷﾝ液(5w/v%),このお薬は、殺菌消毒薬です。,本剤塗布後、過敏症を発現することがあります。異常がみられた場合は早めに獣医師にご相談下さい。,獣医師の指示のもと、適切な濃度に希釈し、正しくご使用下さい。,密栓し、光を避けて、室温で保存して下さい。
ﾐｺﾌｪﾉｰﾙ酸ﾓﾌｪﾁﾙ,このお薬は免疫抑制剤です。免疫機能を制限するためなどに使用されます。,本剤投与後、異常が見られた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しくご使用ください。,高温多湿を避け、室温で保存してください。
ﾐﾆﾌﾟﾚｽ錠0.5mg,このお薬は、降圧剤です。血管を拡張させて、心臓の負担を軽減する作用があります。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ムコダイン錠250mg,このお薬は、気道粘液調整剤です。たんを出しやすくし、気道粘膜を整える場合などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾒｲﾛﾝｸﾞ液,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って与えてくだ下さい。,直射日光を避け、湿気の少ない涼しい所で密閉容器に保存してください。,
メキシレチン塩酸塩錠100ｍｇ「杏林」,このお薬は抗不整脈剤です。不整脈の治療に用いられます。,本剤投与後、下痢や嘔吐などの異常がみられた場合はすぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しくご使用ください。,気密容器に入れ、光を避けて保存して下さい。
メスチノン60㎎,このお薬は、重症筋無力症治療薬です。筋肉の収縮を助けます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光と湿気を避けて、室温で保存して下さい。
ﾒﾀｶﾑ0.15%経口懸濁液,このお薬は、非ステロイド性消炎鎮痛剤です。痛みや炎症を抑えます。,本剤投与後、食欲不振、嘔吐等がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って正しく与えて下さい。投与前には容器をよく振り混ぜて下さい。,気密容器に入れ、直射日光と高温多湿を避けて、室温で保存して下さい。
メタカム0.05%経口懸濁液猫,このお薬は、非ステロイド性消炎鎮痛剤です。痛みや炎症を抑えます。,空腹時には投与しないでください。本剤投与後、食欲不振、嘔吐等がみられた場合はすぐに獣医師にご相談ください。,投与前には容器をよく振り混ぜ、空腹時の投与を避けて、食事に混ぜるか、食後に与えて下さい。,気密容器に入れ、直射日光と高温多湿を避けて、室温で保存して下さい。
ﾒﾀｶﾑ錠1.0mg,このお薬は、非ステロイド性消炎鎮痛剤です。痛みや炎症を抑えます。,空腹時には投与しないで下さい。本剤投与後、食欲不振、嘔吐等がみられた場合はすぐに獣医師にご相談下さい。,空腹時の投与を避けて、食事に混ぜるか、食後に与えて下さい。,光を避け気密容器に入れて、室温で保存して下さい。
メトクロプラミド５mg,このお薬は、消化管運動機能改善剤です。胃・十二指腸などの運動機能低下、食欲不振、嘔吐の改善などに使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。,室温で保存してください。
プリンペラン,このお薬は、消化管運動機能改善剤です。胃・十二指腸などの運動機能低下、食欲不振、嘔吐の改善などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾒﾄﾞﾛｰﾙ錠4mg,このお薬は、合成副腎皮質ホルモン剤です。炎症性疾患や免疫性疾患などに使用されます。,本剤投与後、食欲が増したり、多飲になる場合があります。その他、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
メバロチン錠5,このお薬は、高脂血症の治療薬です。脂質の代謝異常を改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾒﾗﾄﾆﾝ3㎎（海外薬）,このお薬は、ホルモン剤です。脱毛症、問題行動、睡眠障害などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,密閉容器に入れて、室温で保存して下さい。
メラトニン5mg（海外薬）,このお薬は、ホルモン剤です。脱毛症、問題行動、睡眠障害などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,密閉容器に入れて、室温で保存して下さい。
ﾒﾙｶｿﾞｰﾙ錠5mg,このお薬は、抗甲状腺剤です。甲状腺機能亢進症の治療に使用され、過剰な甲状腺ホルモンの合成を抑制します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。定期的な検診が必要になります。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾓﾒﾀｵﾃｨｯｸ(215g),このお薬は、感染性外耳炎治療剤です。細菌や真菌による外耳炎の治療に使用されます。,本剤使用後、異常がみられた場合は使用を中止し、獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守り、開封後は、同封の投与補助器に取替えてご使用下さい。,直射日光・高温を避けて保存して下さい。投与補助器をつけたまま保存する場合は、蓋をして下さい。
ﾕﾍﾞﾗ錠50mg,このお薬は、ビタミンE製剤です。ビタミンEの欠乏症、末梢循環障害の治療や過酸化脂質の増加防止などに使用されます。,本剤投与後、便秘、下痢、発疹などが起こることがあります。異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。処方期間を過ぎた薬は廃棄して下さい。
ユベ-E錠100㎎,このお薬は、ビタミンE製剤です。ビタミンEの欠乏症、末梢循環障害の治療や過酸化脂質の増加防止などに使用されます。,本剤投与後、便秘、下痢、発疹などが起こることがあります。異常がみられた場合はすぐ獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。,湿気を避けて、室温で保存して下さい。処方期間を過ぎた薬は破棄して下さい。
ﾗｸﾂﾛｰｽ･ｼﾛｯﾌﾟ60%｢ｺｰﾜ｣,このお薬は、便秘や肝性脳症の治療などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。便秘治療の際には、便の様子を見ながら調整して下さい。,気密容器に入れて、涼しい所で保存して下さい。
ﾗｼｯｸｽ錠20mg,このお薬は、利尿剤です。うっ血性心不全や肺水腫の症状の改善のために使用されます。,本剤投与後、過度の渇き、無気力、乏尿、胃腸障害など異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避けて、室温で保存して下さい。
